affy_id	gene
A.213896_x_at	KIAA0974
A.213897_s_at	MRPL23
A.213898_at	RBM9
A.213899_at	METAP2
A.213900_at	C9orf61
A.213901_x_at	RBM9
A.213902_at	ASAH1
A.213903_s_at	RQCD1
A.213904_at	--
A.213905_x_at	BGN
A.213906_at	MYBL1
A.213907_at	EEF1E1
A.213908_at	WHDC1L1
A.213909_at	LRRC15
A.213910_at	IGFBP7
A.213911_s_at	H2AFZ
A.213912_at	KIAA0984
A.213913_s_at	KIAA0984
A.213914_s_at	SPTBN1
A.213915_at	NKG7
A.213916_at	ZNF20
A.213917_at	PAX8
A.213918_s_at	NIPBL
A.213919_at	DNAJC4
A.213920_at	CUTL2
A.213921_at	SST
A.213922_at	TTBK2
A.213923_at	RAP2B
A.213924_at	MPPE1
A.213925_at	C1orf95
A.213926_s_at	HRB
A.213927_at	MAP3K9
A.213928_s_at	HRB
A.213929_at	--
A.213930_at	--
A.213931_at	ID2
A.213932_x_at	HLA-A
A.213933_at	PTGER3
A.213934_s_at	ZNF19
A.213935_at	ABHD5
A.213936_x_at	SFTPB
A.213937_s_at	FTSJ1
A.213938_at	ERC2
A.213939_s_at	RUFY3
A.213940_s_at	FNBP1
A.213941_x_at	RPS7
A.213942_at	MEGF6
A.213943_at	TWIST1
A.213944_x_at	GNA11
A.213945_s_at	NUP210
A.213946_s_at	OBSL1
A.213947_s_at	NUP210
A.213948_x_at	CADM3
A.213949_s_at	DOHH
A.213950_s_at	PPP3CC
A.213951_s_at	PSMC3IP
A.213952_s_at	ALOX5
A.213953_at	KRT20
A.213954_at	KIAA0888
A.213955_at	MYOZ3
A.213956_at	CEP350
A.213957_s_at	CEP350
A.213958_at	CD6
A.213959_s_at	RPGRIP1L
A.213960_at	--
A.213961_s_at	--
A.213962_s_at	KIAA0692
A.213963_s_at	SAP30
A.213964_x_at	--
A.213965_s_at	CHD5
A.213966_at	HMG20B
A.213967_at	LOC138046
A.213968_at	--
A.213969_x_at	RPL29
A.213970_at	LOC653256
A.213971_s_at	SUZ12
A.213972_at	FOXD1
A.213973_at	RRBP1
A.213974_at	ADAMTSL3
A.213975_s_at	LYZ
A.213976_at	CIZ1
A.213977_s_at	CIZ1
A.213978_at	ABBA-1
A.213979_s_at	--
A.213980_s_at	CTBP1
A.213981_at	COMT
A.213982_s_at	RABGAP1L
A.213983_s_at	SCC-112
A.213984_at	SCC-112
A.213985_s_at	C19orf6
A.213986_s_at	C19orf6
A.213987_s_at	CDC2L5
A.213988_s_at	SAT1
A.213989_x_at	SETD4
A.213990_s_at	PAK7
A.213991_s_at	HS3ST1
A.213992_at	COL4A6
A.213993_at	SPON1
A.213994_s_at	SPON1
A.213995_at	ATP5S
A.213996_at	YPEL1
A.213997_at	KIAA0574
A.213998_s_at	DDX17
A.213999_at	YIPF4
A.214000_s_at	RGS10
A.214001_x_at	--
A.214002_at	MYL6
A.214003_x_at	RPS20
A.214004_s_at	VGLL4
A.214005_at	GGCX
A.214006_s_at	GGCX
A.214007_s_at	TWF1
A.214008_at	TWF1
A.214009_at	MSL3L1
A.214010_s_at	ATP9B
A.214011_s_at	HSPC111
A.214012_at	ARTS-1
A.214013_s_at	TBC1D1
A.214014_at	CDC42EP2
A.214015_at	SOCS7
A.214016_s_at	SFPQ
A.214017_s_at	DHX34
A.214018_at	GRIP1
A.214019_at	--
A.214020_x_at	ITGB5
A.214021_x_at	ITGB5
A.214022_s_at	IFITM1
A.214023_x_at	TUBB2B
A.214024_s_at	DGCR6L
A.214025_at	DDX28
A.214026_s_at	SPRED2
A.214027_x_at	DES
A.214028_x_at	TDRD3
A.214029_at	SLC25A42
A.214030_at	DKFZp667G2110
A.214031_s_at	KRT7
A.214032_at	ZAP70
A.214033_at	ABCC6
A.214034_at	ARTS-1
A.214035_x_at	LOC399491
A.214036_at	--
A.214037_s_at	CCDC22
A.214038_at	CCL8
A.214039_s_at	LAPTM4B
A.214040_s_at	GSN
A.214041_x_at	RPL37A
A.214042_s_at	RPL22
A.214043_at	PTPRD
A.214044_at	RYR2
A.214045_at	LIAS
A.214046_at	--
A.214047_s_at	MBD4
A.214048_at	MBD4
A.214049_x_at	CD7
A.214050_at	--
A.214051_at	MGC39900
A.214052_x_at	BAT2D1
A.214053_at	ERBB4
A.214054_at	DOK2
A.214055_x_at	BAT2D1
A.214056_at	MCL1
A.214057_at	MCL1
A.214058_at	MYCL1
A.214059_at	IFI44
A.214060_at	SSBP1
A.214061_at	WDR67
A.214062_x_at	NFKBIB
A.214063_s_at	TF
A.214064_at	TF
A.214065_s_at	CIB2
A.214066_x_at	NPR2
A.214067_at	C16orf42
A.214068_at	BEAN
A.214069_at	ACSM2
A.214070_s_at	ATP10B
A.214071_at	MPPE1
A.214072_x_at	NENF
A.214073_at	CTTN
A.214074_s_at	CTTN
A.214075_at	NENF
A.214076_at	--
A.214077_x_at	MEIS3P1
A.214078_at	--
A.214079_at	DHRS2
A.214080_x_at	PRKCSH
A.214081_at	PLXDC1
A.214082_at	CA5B
A.214083_at	PPP2R5C
A.214084_x_at	LOC648998
A.214085_x_at	GLIPR1
A.214086_s_at	PARP2
A.214087_s_at	MYBPC1
A.214088_s_at	FUT3
A.214089_at	LOC388076
A.214090_at	PAWR
A.214091_s_at	GPX3
A.214092_x_at	SFRS14
A.214093_s_at	FUBP1
A.214094_at	FUBP1
A.214095_at	SHMT2
A.214096_s_at	SHMT2
A.214097_at	RPS21
A.214098_at	KIAA1107
A.214099_s_at	LOC727927
A.214100_x_at	NSUN5B
A.214101_s_at	NPEPPS
A.214102_at	CENTD1
A.214103_s_at	RAP2A
A.214104_at	GPR161
A.214105_at	SOCS3
A.214106_s_at	GMDS
A.214107_x_at	LOC440434
A.214108_at	MAX
A.214109_at	LRBA
A.214110_s_at	LOC654342
A.214111_at	OPCML
A.214112_s_at	CXorf40A
A.214113_s_at	RBM8A
A.214114_x_at	FASTK
A.214115_at	VAMP5
A.214116_at	--
A.214117_s_at	BTD
A.214118_x_at	PCM1
A.214119_s_at	FKBP1A
A.214120_at	RFPL1S
A.214121_x_at	PDLIM7
A.214122_at	PDLIM7
A.214123_s_at	C4orf10
A.214124_x_at	--
A.214125_s_at	NENF
A.214126_at	--
A.214127_s_at	ARS2
A.214128_at	DAGLA
A.214129_at	LOC727942
A.214130_s_at	LOC727942
A.214131_at	CYorf15B
A.214132_at	ATP5C1
A.214133_at	MUC6
A.214134_at	MGC42367
A.214135_at	CLDN18
A.214136_at	NUDT13
A.214137_at	PTPRJ
A.214138_at	ZNF79
A.214139_at	--
A.214140_at	SLC25A16
A.214141_x_at	SFRS7
A.214142_at	ZG16
A.214143_x_at	RPL24
A.214144_at	POLR2D
A.214145_s_at	SPTB
A.214146_s_at	PPBP
A.214147_at	C1orf175
A.214148_at	--
A.214149_s_at	ATP6V0E1
A.214150_x_at	ATP6V0E1
A.214151_s_at	CCPG1
A.214152_at	CCPG1
A.214153_at	ELOVL5
A.214154_s_at	PKP2
A.214155_s_at	LARP4
A.214156_at	MYRIP
A.214157_at	GNAS
A.214158_s_at	PRDM10
A.214159_at	PLCE1
A.214160_at	--
A.214161_at	OSGIN2
A.214162_at	LOC284244
A.214163_at	C1orf41
A.214164_x_at	CA12
A.214165_s_at	HS6ST1
A.214166_at	SDHB
A.214167_s_at	RPLP0
A.214168_s_at	TJP1
A.214169_at	--
A.214170_x_at	FH
A.214171_s_at	U2AF2
A.214172_x_at	RYK
A.214173_x_at	C19orf2
A.214174_s_at	PDLIM4
A.214175_x_at	PDLIM4
A.214176_s_at	PBXIP1
A.214177_s_at	PBXIP1
A.214178_s_at	SOX2
A.214179_s_at	NFE2L1
A.214180_at	MAN1C1
A.214181_x_at	LST1
A.214182_at	ARF6
A.214183_s_at	TKTL1
A.214184_at	NPFF
A.214185_at	KHDRBS1
A.214186_s_at	3.8-1
A.214187_x_at	CTDSPL
A.214188_at	HEXIM1
A.214189_s_at	GGA2
A.214190_x_at	GGA2
A.214191_at	ICA1
A.214192_at	NUP88
A.214193_s_at	C1orf107
A.214194_at	DIS3
A.214195_at	TPP1
A.214196_s_at	TPP1
A.214197_s_at	SETDB1
A.214198_s_at	DGCR2
A.214199_at	SFTPD
A.214200_s_at	COL6A1
A.214201_x_at	BAT2
A.214202_at	--
A.214203_s_at	PRODH
A.214204_at	PACRG
A.214205_x_at	TXNL2
A.214206_at	SMPD2
A.214207_s_at	CARD10
A.214208_at	FLJ33790
A.214209_s_at	ABCB9
A.214210_at	SLC25A17
A.214211_at	FTH1
A.214212_x_at	PLEKHC1
A.214213_x_at	LMNA
A.214214_s_at	C1QBP
A.214215_s_at	LARP5
A.214216_s_at	LARP5
A.214217_at	GRM5
A.214218_s_at	XIST
A.214219_x_at	MAP4K1
A.214220_s_at	ALMS1
A.214221_at	ALMS1
A.214222_at	DNAH7
A.214223_at	--
A.214224_s_at	hCG_1789710
A.214225_at	hCG_1789710
A.214226_at	POL3S
A.214227_at	GNG7
A.214228_x_at	TNFRSF4
A.214229_at	DNAH17
A.214230_at	CDC42
A.214231_s_at	RP11-125A7.3
A.214232_at	ABCF2
A.214233_at	GGA2
A.214234_s_at	CYP3A5
A.214235_at	CYP3A5
A.214236_at	CDC27
A.214237_x_at	PAWR
A.214238_at	--
A.214239_x_at	PCGF2
A.214240_at	GAL
A.214241_at	NDUFB8
A.214242_at	MAN1A2
A.214243_s_at	SERHL
A.214244_s_at	ATP6V0E1
A.214245_at	RPS14
A.214246_x_at	MINK1
A.214247_s_at	DKK3
A.214248_s_at	TRIM2
A.214249_at	TRIM2
A.214250_at	NUMA1
A.214251_s_at	NUMA1
A.214252_s_at	CLN5
A.214253_s_at	DTNB
A.214254_at	MAGEA4
A.214255_at	ATP10A
A.214256_at	ATP10A
A.214257_s_at	SEC22B
A.214258_x_at	HTATIP
A.214259_s_at	AKR7A2
A.214260_at	COPS8
A.214261_s_at	ADH6
A.214262_at	TRIP6
A.214263_x_at	POLR2C
A.214264_s_at	C14orf143
A.214265_at	ITGA8
A.214266_s_at	PDLIM7
A.214267_s_at	CADM4
A.214268_s_at	MTMR4
A.214269_at	MFSD7
A.214270_s_at	MAPRE3
A.214271_x_at	RPL12
A.214272_at	CYLD
A.214273_x_at	C16orf35
A.214274_s_at	ACAA1
A.214275_at	MED12
A.214276_at	KLF12
A.214277_at	COX11
A.214278_s_at	NDRG2
A.214279_s_at	NDRG2
A.214280_x_at	HNRPA1
A.214281_s_at	RCHY1
A.214282_at	--
A.214283_at	TMEM97
A.214284_s_at	FGF18
A.214285_at	FABP3
A.214286_at	GNAT1
A.214287_s_at	CDC2L5
A.214288_s_at	PSMB1
A.214289_at	PSMB1
A.214290_s_at	HIST2H2AA3
A.214291_at	hCG_2004593
A.214292_at	ITGB4
A.214293_at	11-Sep
A.214294_at	KIAA0485
A.214295_at	KIAA0485
A.214296_x_at	C19orf36
A.214297_at	CSPG4
A.214298_x_at	6-Sep
A.214299_at	TOP3A
A.214300_s_at	TOP3A
A.214301_s_at	DPYSL4
A.214302_x_at	GJA12
A.214303_x_at	MUC5AC
A.214304_x_at	DMN
A.214305_s_at	SF3B1
A.214306_at	OPA1
A.214307_at	HGD
A.214308_s_at	HGD
A.214309_s_at	C21orf2
A.214310_s_at	ZFPL1
A.214311_at	ZFPL1
A.214312_at	FOXA2
A.214313_s_at	EIF5B
A.214314_s_at	EIF5B
A.214315_x_at	CALR
A.214316_x_at	CALR
A.214317_x_at	RPS9
A.214318_s_at	FRY
A.214319_at	FRY
A.214320_x_at	CYP2A6
A.214321_at	NOV
A.214322_at	CAMK2G
A.214323_s_at	UPF3A
A.214324_at	GP2
A.214325_at	GP2
A.214326_x_at	JUND
A.214327_x_at	TPT1
A.214328_s_at	HSP90AA1
A.214329_x_at	TNFSF10
A.214330_at	ATPAF2
A.214331_at	TSFM
A.214332_s_at	TSFM
A.214333_x_at	IDH3G
A.214334_x_at	DAZAP2
A.214335_at	RPL18
A.214336_s_at	COPA
A.214337_at	COPA
A.214338_at	DNAJB12
A.214339_s_at	MAP4K1
A.214340_at	ALOX12P2
A.214341_at	AP1G2
A.214342_at	ATXN7L1
A.214343_s_at	ATXN7L1
A.214344_at	LOC92973
A.214345_at	--
A.214346_at	C1QL1
A.214347_s_at	DDC
A.214348_at	TACR2
A.214349_at	--
A.214350_at	SNTB2
A.214351_x_at	LOC388344
A.214352_s_at	KRAS
A.214353_at	--
A.214354_x_at	SFTPB
A.214355_x_at	LOC643854
A.214356_s_at	KIAA0368
A.214357_at	C1orf105
A.214358_at	ACACA
A.214359_s_at	HSP90AB1
A.214360_at	SMARCA4
A.214361_s_at	RGS12
A.214362_at	--
A.214363_s_at	MATR3
A.214364_at	MTERFD2
A.214365_at	TPM3
A.214366_s_at	ALOX5
A.214367_at	RASGRP2
A.214368_at	RASGRP2
A.214369_s_at	RASGRP2
A.214370_at	S100A8
A.214371_at	TSSK2
A.214372_x_at	ERN2
A.214373_at	--
A.214374_s_at	PPFIBP1
A.214375_at	LOC440091
A.214376_at	--
A.214377_s_at	CTRL
A.214378_at	TFPI
A.214379_at	--
A.214380_at	PRPF31
A.214381_at	LOC441601
A.214382_at	UNC93A
A.214383_x_at	KLHDC3
A.214384_s_at	MBD6
A.214385_s_at	MUC5AC
A.214386_at	HMX1
A.214387_x_at	SFTPC
A.214388_at	--
A.214389_at	--
A.214390_s_at	BCAT1
A.214391_x_at	PTGER1
A.214392_at	IRGC
A.214393_at	RND2
A.214394_x_at	EEF1D
A.214395_x_at	--
A.214396_s_at	MBD2
A.214397_at	MBD2
A.214398_s_at	IKBKE
A.214399_s_at	KRT4
A.214400_at	INSL3
A.214401_at	PAX1
A.214402_s_at	SFI1
A.214403_x_at	SPDEF
A.214404_x_at	SPDEF
A.214405_at	--
A.214406_s_at	SLC7A4
A.214407_x_at	GYPB
A.214408_s_at	RFPL1S
A.214409_at	RFPL3S
A.214410_at	TRPM1
A.214411_x_at	CTRB2
A.214412_at	H2AFB1
A.214413_at	TAT
A.214414_x_at	HBA2
A.214415_at	PLGLB1
A.214416_at	--
A.214417_s_at	FETUB
A.214418_at	LOC196993
A.214419_s_at	CYP2C9
A.214420_s_at	CYP2C9
A.214421_x_at	CYP2C9
A.214422_at	LOC131185
A.214423_x_at	--
A.214424_s_at	--
A.214425_at	AMBP
A.214426_x_at	CHAF1A
A.214427_at	NOL1
A.214428_x_at	C4A
A.214429_at	MTMR6
A.214430_at	GLA
A.214431_at	GMPS
A.214432_at	ATP1A3
A.214433_s_at	SELENBP1
A.214434_at	HSPA12A
A.214435_x_at	RALA
A.214436_at	FBXL2
A.214437_s_at	SHMT2
A.214438_at	HLX1
A.214439_x_at	BIN1
A.214440_at	NAT1
A.214441_at	STX6
A.214442_s_at	PIAS2
A.214443_at	PVR
A.214444_s_at	PVR
A.214445_at	ELL2
A.214446_at	ELL2
A.214447_at	ETS1
A.214448_x_at	NFKBIB
A.214449_s_at	RHOQ
A.214450_at	CTSW
A.214451_at	TFAP2B
A.214452_at	BCAT1
A.214453_s_at	IFI44
A.214454_at	ADAMTS2
A.214455_at	HIST1H2BC
A.214456_x_at	SAA1
A.214457_at	HOXA2
A.214458_at	TRAF3IP1
A.214459_x_at	HLA-C
A.214460_at	LSAMP
A.214461_at	LBP
A.214462_at	SOCS6
A.214463_x_at	HIST1H4J
A.214464_at	CDC42BPA
A.214465_at	ORM1
A.214466_at	GJA5
A.214467_at	GPR65
A.214468_at	MYH6
A.214469_at	HIST1H2AE
A.214470_at	KLRB1
A.214471_x_at	LHB
A.214472_at	HIST1H3D
A.214473_x_at	PMS2L3
A.214474_at	PRKAB2
A.214475_x_at	CAPN3
A.214476_at	TFF2
A.214477_at	MLLT1
A.214478_at	SPP2
A.214479_at	GFRA3
A.214480_at	ETV3
A.214481_at	HIST1H2AM
A.214482_at	ZBTB25
A.214483_s_at	ARFIP1
A.214484_s_at	OPRS1
A.214485_at	ODF1
A.214486_x_at	CFLAR
A.214487_s_at	RAP2A
A.214488_at	RAP2B
A.214489_at	FSHB
A.214490_at	ARSF
A.214491_at	SSTR3
A.214492_at	SGCD
A.214493_s_at	INADL
A.214494_s_at	SPG7
A.214495_at	CACNG2
A.214496_x_at	MYST4
A.214497_s_at	NHLH2
A.214498_at	ASIP
A.214499_s_at	BCLAF1
A.214500_at	H2AFY
A.214501_s_at	H2AFY
A.214502_at	HIST1H2BJ
A.214503_x_at	GPR135
A.214504_at	ABO
A.214505_s_at	FHL1
A.214506_at	--
A.214507_s_at	EXOSC2
A.214508_x_at	CREM
A.214509_at	HIST1H3I
A.214510_at	GPR20
A.214511_x_at	FCGR1B
A.214512_s_at	SUB1
A.214513_s_at	CREB1
A.214514_at	MCM3AP
A.214515_at	OR1E1
A.214516_at	HIST1H4B
A.214517_at	KRTAP5-9
A.214518_at	PDHA2
A.214519_s_at	RLN2
A.214520_at	FOXC2
A.214521_at	HES2
A.214522_x_at	HIST1H3D
A.214523_at	CEBPE
A.214524_at	GHRH
A.214525_x_at	MLH3
A.214526_x_at	PMS2L1
A.214527_s_at	PQBP1
A.214528_s_at	PAX8
A.214529_at	TSHB
A.214530_x_at	EPB41
A.214531_s_at	SNX1
A.214532_x_at	LOC642559
A.214533_at	CMA1
A.214534_at	HIST1H1B
A.214535_s_at	ADAMTS2
A.214536_at	SLURP1
A.214537_at	HIST1H1D
A.214538_x_at	RGS6
A.214539_at	SERPINB10
A.214540_at	HIST1H2BO
A.214541_s_at	QKI
A.214542_x_at	HIST1H2AI
A.214543_x_at	QKI
A.214544_s_at	SNAP23
A.214545_s_at	PROSC
A.214546_s_at	P2RY11
A.214547_at	SAC
A.214548_x_at	GNAS
A.214549_x_at	SPRR1A
A.214550_s_at	TNPO3
A.214551_s_at	CD7
A.214552_s_at	RABEP1
A.214553_s_at	ARPP-19
A.214554_at	HIST1H2AL
A.214555_at	SSTR5
A.214556_at	SSTR4
A.214557_at	PTTG2
A.214558_at	GPR12
A.214559_at	DRD3
A.214560_at	FPRL2
A.214561_at	LILRP2
A.214562_at	HIST1H4L
A.214563_at	PCDHGC3
A.214564_s_at	PCDHGC3
A.214565_s_at	SMR3A
A.214566_at	SMR3A
A.214567_s_at	XCL1
A.214568_at	TPSD1
A.214569_at	IFNA5
A.214570_x_at	DKFZp434K191
A.214571_at	FGF3
A.214572_s_at	INSL3
A.214574_x_at	LST1
A.214575_s_at	AZU1
A.214576_at	KRT36
A.214577_at	MAP1B
A.214578_s_at	ROCK1
A.214579_at	NPAL3
A.214580_x_at	KRT6A
A.214581_x_at	TNFRSF21
A.214582_at	PDE3B
A.214583_at	RSC1A1
A.214584_x_at	ACACB
A.214585_s_at	VPS52
A.214586_at	GPR37
A.214587_at	COL8A1
A.214588_s_at	MFAP3
A.214589_at	FGF12
A.214590_s_at	UBE2D1
A.214591_at	KLHL4
A.214592_s_at	SNAPC5
A.214593_at	PIAS2
A.214594_x_at	ATP8B1
A.214595_at	KCNG1
A.214596_at	CHRM3
A.214597_at	SSTR2
A.214598_at	CLDN8
A.214599_at	IVL
A.214600_at	TEAD1
A.214601_at	TPH1
A.214602_at	COL4A4
A.214603_at	MAGEA2
A.214604_at	HOXD11
A.214605_x_at	GPR1
A.214606_at	TSPAN2
A.214607_at	PAK3
A.214608_s_at	EYA1
A.214609_at	PHOX2A
A.214610_at	CYP11B1
A.214611_at	GRIK1
A.214612_x_at	MAGEA6
A.214613_at	GPR3
A.214614_at	HLXB9
A.214615_at	P2RY10
A.214616_at	HIST1H3E
A.214617_at	PRF1
A.214618_at	CFLAR
A.214619_at	CRHR1
A.214620_x_at	PAM
A.214621_at	GYS2
A.214622_at	CYP21A2
A.214623_at	SHFM3P1
A.214624_at	UPK1A
A.214625_s_at	MINK1
A.214626_s_at	GANAB
A.214627_at	EPX
A.214628_at	NHLH1
A.214629_x_at	RTN4
A.214630_at	CYP11B2
A.214631_at	ZBTB33
A.214632_at	NRP2
A.214633_at	SOX3
A.214634_at	HIST1H4I
A.214635_at	CLDN9
A.214636_at	CALCB
A.214637_at	OSM
A.214638_s_at	CCNT2
A.214639_s_at	HOXA1
A.214640_at	UNC93A
A.214641_at	COL4A3
A.214642_x_at	MAGEA5
A.214643_x_at	BIN1
A.214644_at	HIST1H2AK
A.214645_at	--
A.214646_at	HIST1H3J
A.214647_s_at	HFE
A.214648_at	GPX5
A.214649_s_at	MTMR2
A.214650_x_at	MOG
A.214651_s_at	HOXA9
A.214652_at	DRD1
A.214655_at	GPR6
A.214656_x_at	MYO1C
A.214657_s_at	TncRNA
A.214658_at	TMED7
A.214659_x_at	YLPM1
A.214660_at	PELO
A.214661_s_at	NOL14
A.214662_at	WDR43
A.214663_at	RIPK5
A.214664_at	PAICS
A.214665_s_at	CHP
A.214666_x_at	IREB2
A.214667_s_at	TP53I11
A.214668_at	C13orf1
A.214669_x_at	HLA-C
A.214670_at	ZKSCAN1
A.214671_s_at	ABR
A.214672_at	TTLL5
A.214673_s_at	HUWE1
A.214674_at	USP19
A.214675_at	NUP188
A.214676_x_at	MUC3B
A.214677_x_at	IGL@
A.214678_x_at	ZFX
A.214679_x_at	GNA11
A.214680_at	NTRK2
A.214681_at	GK
A.214682_at	LOC339047
A.214683_s_at	CLK1
A.214684_at	MEF2A
A.214685_at	C4orf10
A.214686_at	ZNF266
A.214687_x_at	ALDOA
A.214688_at	TLE4
A.214689_at	PAPPA2
A.214690_at	TAF1B
A.214691_x_at	FAM63B
A.214692_s_at	JRK
A.214693_x_at	KIAA1245
A.214694_at	LOC729143
A.214695_at	UBAP2L
A.214696_at	MGC14376
A.214697_s_at	ROD1
A.214698_at	ROD1
A.214699_x_at	WIPI2
A.214700_x_at	RIF1
A.214701_s_at	FN1
A.214702_at	FN1
A.214703_s_at	MAN2B2
A.214704_at	TCF25
A.214705_at	INADL
A.214706_at	ZNF200
A.214707_x_at	ALMS1
A.214708_at	SNTB1
A.214709_s_at	KTN1
A.214710_s_at	CCNB1
A.214711_at	15E1.2
A.214712_at	RUNDC2B
A.214713_at	YLPM1
A.214714_at	ZNF394
A.214715_x_at	ZNF160
A.214716_at	BMP2K
A.214717_at	DKFZp434H1419
A.214718_at	GATAD1
A.214719_at	SLC46A3
A.214720_x_at	10-Sep
A.214721_x_at	CDC42EP4
A.214722_at	NOTCH2NL
A.214723_x_at	KIAA1641
A.214724_at	DIXDC1
A.214725_at	RPESP
A.214726_x_at	ADD1
A.214727_at	BRCA2
A.214728_x_at	SMARCA4
A.214729_at	TWISTNB
A.214730_s_at	GLG1
A.214731_at	CTTNBP2NL
A.214732_at	SP1
A.214733_s_at	YIPF1
A.214734_at	EXPH5
A.214735_at	PIP3-E
A.214736_s_at	ADD1
A.214737_x_at	HNRPC
A.214738_s_at	NEK9
A.214739_at	LRCH3
A.214740_at	POLR2J2
A.214741_at	ZNF131
A.214742_at	AZI1
A.214743_at	CUTL1
A.214744_s_at	LOC646949
A.214745_at	PLCH1
A.214746_s_at	ZNF467
A.214747_at	--
A.214748_at	RP11-298P3.3
A.214749_s_at	ARMCX6
A.214750_at	PLAC4
A.214751_at	ZNF468
A.214752_x_at	FLNA
A.214753_at	PFAAP5
A.214754_at	MGC22014
A.214755_at	UAP1L1
A.214756_x_at	PMS2L1
A.214757_at	--
A.214758_at	WDR21A
A.214759_at	WTAP
A.214760_at	ZNF337
A.214761_at	ZNF423
A.214762_at	ATP6V1G2
A.214763_at	ACOT11
A.214764_at	RRP15
A.214765_s_at	ASAHL
A.214766_s_at	AHCTF1
A.214767_s_at	HSPB6
A.214768_x_at	HLA-C
A.214769_at	--
A.214770_at	MSR1
A.214771_x_at	M-RIP
A.214772_at	C11orf41
A.214773_x_at	TIPRL
A.214774_x_at	TOX3
A.214775_at	N4BP3
A.214776_x_at	XYLB
A.214777_at	--
A.214778_at	MEGF8
A.214779_s_at	RUTBC3
A.214780_s_at	MYO9B
A.214781_at	--
A.214782_at	CTTN
A.214783_s_at	ANXA11
A.214784_x_at	XPO6
A.214785_at	VPS13A
A.214786_at	MAP3K1
A.214787_at	DENND4A
A.214788_x_at	DDN
A.214789_x_at	SFRS2B
A.214790_at	SENP6
A.214791_at	LOC93349
A.214792_x_at	VAMP2
A.214793_at	DUSP7
A.214794_at	PA2G4
A.214795_at	ZMYND8
A.214796_at	KIAA1456
A.214797_s_at	PCTK3
A.214798_at	ATP2C2
A.214799_at	NFASC
A.214800_x_at	BTF3
A.214801_at	--
A.214802_at	EXOC7
A.214803_at	--
A.214804_at	CENPI
A.214805_at	EIF4A1
A.214806_at	BICD1
A.214807_at	--
A.214808_at	--
A.214809_at	--
A.214811_at	RIMBP2
A.214812_s_at	MOBK1B
A.214813_at	ZNF75
A.214814_at	YTHDC1
A.214815_at	TRIM33
A.214816_x_at	C19orf40
A.214817_at	UNC13A
A.214818_at	CCDC57
A.214819_at	IQSEC2
A.214820_at	BRWD1
A.214821_at	--
A.214822_at	FAM5B
A.214823_at	ZNF204
A.214824_at	--
A.214825_at	LOC728215
A.214826_at	2-PDE
A.214827_at	PARD6B
A.214828_s_at	dJ222E13.2
A.214829_at	AASS
A.214830_at	SLC38A6
A.214831_at	MED28
A.214832_at	HNF4A
A.214833_at	TMEM63A
A.214834_at	PAR-SN
A.214835_s_at	SUCLG2
A.214836_x_at	IGKC
A.214837_at	ALB
A.214838_at	SFT2D2
A.214839_at	LOC157627
A.214840_at	TOM1L2
A.214841_at	CNIH3
A.214842_s_at	ALB
A.214843_s_at	USP33
A.214844_s_at	DOK5
A.214845_s_at	CALU
A.214846_s_at	ALPK3
A.214847_s_at	GPSM3
A.214848_at	--
A.214849_at	KCTD20
A.214850_at	GUSBP1
A.214851_at	HNF4A
A.214852_x_at	VPS13A
A.214853_s_at	SHC1
A.214854_at	--
A.214855_s_at	GARNL1
A.214856_at	SPTBN1
A.214857_at	--
A.214858_at	--
A.214859_at	FSTL4
A.214860_at	SLC9A7
A.214861_at	JMJD2C
A.214862_x_at	--
A.214863_at	--
A.214864_s_at	GRHPR
A.214865_at	DOT1L
A.214866_at	PLAUR
A.214867_at	--
A.214868_at	PIWIL1
A.214869_x_at	GAPVD1
A.214870_x_at	LOC339047
A.214871_x_at	--
A.214872_at	RIF1
A.214873_at	LRP5L
A.214874_at	PKP4
A.214875_x_at	APLP2
A.214876_s_at	TUBGCP5
A.214877_at	CDKAL1
A.214878_at	ZNF37A
A.214879_x_at	USF2
A.214880_x_at	CALD1
A.214881_s_at	UBTF
A.214882_s_at	SFRS2
A.214883_at	THRA
A.214884_at	MCF2
A.214885_at	MYST1
A.214886_s_at	CG018
A.214887_at	CG018
A.214888_at	CAPN2
A.214889_at	DKFZP564J102
A.214890_s_at	DKFZP564J102
A.214891_at	FBXO21
A.214892_x_at	C19orf29
A.214893_x_at	HCN2
A.214894_x_at	MACF1
A.214895_s_at	ADAM10
A.214896_at	--
A.214897_at	KIAA0506
A.214898_x_at	MUC3B
A.214899_at	ZNF780B
A.214900_at	ZKSCAN1
A.214901_at	ZNF8
A.214902_x_at	--
A.214903_at	--
A.214904_at	ZNF41
A.214905_at	LOC145899
A.214906_x_at	CG018
A.214907_at	CEACAM21
A.214908_s_at	TRRAP
A.214909_s_at	DDAH2
A.214910_s_at	APOM
A.214911_s_at	BRD2
A.214912_at	--
A.214913_at	ADAMTS3
A.214914_at	FAM13C1
A.214915_at	FLJ25476
A.214916_x_at	EXOC7
A.214917_at	PRKAA1
A.214918_at	HNRPM
A.214919_s_at	EIF4EBP3
A.214920_at	THSD7A
A.214921_at	KCNMA1
A.214922_at	ZNF484
A.214923_at	ATP6V1D
A.214924_s_at	TRAK1
A.214925_s_at	SPTAN1
A.214926_at	SPTAN1
A.214927_at	ITGBL1
A.214928_at	OBSL1
A.214929_s_at	KIAA1109
A.214930_at	SLITRK5
